classe,term,weight
agradecimento,obrigada,4.040762628459441
agradecimento,perfeito,2.25624704408989
agradecimento,agradeco,1.7211217497731854
agradecimento,maravilhosa,1.3086136722079758
agradecimento,muito obrigada,1.2065501960276082
agradecimento,pelo retorno,1.1794831880466208
agradecimento,ótimo,1.1484237546833205
agradecimento,ajudar,1.1378387713863567
agradecimento,abraço,1.082434618062142
agradecimento,muito,1.0700730394944835
agradecimento,retorno,1.0605647051245708
agradecimento,calça,0.9746469391684468
buscar_produto_por_categoria,quero,3.6329930488772644
buscar_produto_por_categoria,verde,3.4806088636941843
buscar_produto_por_categoria,preto,3.1578117792079636
buscar_produto_por_categoria,tamanho,2.282285808325342
buscar_produto_por_categoria,tem,2.0914756062256705
buscar_produto_por_categoria,preto tamanho,1.8079592939563809
buscar_produto_por_categoria,verde tamanho,1.7965223815668512
buscar_produto_por_categoria,blazer,1.4168026771013236
buscar_produto_por_categoria,vestido,1.3595439921467785
buscar_produto_por_categoria,camisa,1.3100729212942812
buscar_produto_por_categoria,body,1.3086360638475383
buscar_produto_por_categoria,jaqueta,1.2080074848822484
buscar_produto_por_nome,tem,3.020768729773433
buscar_produto_por_nome,temos,1.5119617261015086
buscar_produto_por_nome,ela,1.3967264080206774
buscar_produto_por_nome,desconto,1.388188047524437
buscar_produto_por_nome,na,1.3098602932952341
buscar_produto_por_nome,loja,1.2308920615013283
buscar_produto_por_nome,tem loja,1.2308920615013283
buscar_produto_por_nome,cala,1.219922540984672
buscar_produto_por_nome,ontem,1.1991766486499245
buscar_produto_por_nome,nao tem,1.18408854046566
buscar_produto_por_nome,no,1.1189007961061255
buscar_produto_por_nome,na tem,1.109346503588458
despedida,obrigada,3.674958247930248
despedida,ate,1.419388443212655
despedida,obrigada pelo,1.3125394791228693
despedida,obrigada pela,1.3112621713677595
despedida,pela,1.1386300904953175
despedida,pelo,1.111818827352043
despedida,categoria,0.8650911834167685
despedida,pela presenca,0.8644088387782841
despedida,presenca,0.8644088387782841
despedida,pela presena,0.8636020928831806
despedida,presena,0.8636020928831806
despedida,muito obrigada,0.7869775202538893
