intencao,pct_train,pct_valid,pct_test
agradecimento,0.1221001221001221,0.1262135922330097,0.1262135922330097
cupom_primeira,0.002442002442002442,0.0,0.0
despedida,0.004884004884004884,0.0,0.0
disponibilidade,0.054945054945054944,0.05825242718446602,0.05825242718446602
duvida_tamanho,0.08302808302808302,0.07766990291262135,0.07766990291262135
erro_plataforma,0.009768009768009768,0.009708737864077669,0.009708737864077669
onde_comprar,0.04884004884004884,0.04854368932038835,0.04854368932038835
outros,0.4713064713064713,0.46601941747572817,0.46601941747572817
pedido_sugestao,0.004884004884004884,0.009708737864077669,0.009708737864077669
prazo_entrega,0.014652014652014652,0.019417475728155338,0.019417475728155338
preco_pagamento,0.029304029304029304,0.02912621359223301,0.02912621359223301
saudacao,0.13186813186813187,0.13592233009708737,0.13592233009708737
troca_devolucao,0.02197802197802198,0.019417475728155338,0.019417475728155338
