intent,y
agradecimento,0
agradecimento,0
agradecimento,0
agradecimento,0
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_categoria,1
buscar_produto_por_nome,2
buscar_produto_por_nome,2
buscar_produto_por_nome,2
buscar_produto_por_nome,2
buscar_produto_por_nome,2
buscar_produto_por_nome,2
buscar_produto_por_nome,2
buscar_produto_por_nome,2
buscar_produto_por_nome,2
buscar_produto_por_nome,2
buscar_produto_por_nome,2
buscar_produto_por_nome,2
buscar_produto_por_nome,2
buscar_produto_por_nome,2
buscar_produto_por_nome,2
buscar_produto_por_nome,2
buscar_produto_por_nome,2
buscar_produto_por_nome,2
buscar_produto_por_nome,2
buscar_produto_por_nome,2
buscar_produto_por_nome,2
buscar_produto_por_nome,2
buscar_produto_por_nome,2
buscar_produto_por_nome,2
buscar_produto_por_nome,2
buscar_produto_por_nome,2
buscar_produto_por_nome,2
buscar_produto_por_nome,2
buscar_produto_por_nome,2
buscar_produto_por_nome,2
buscar_produto_por_nome,2
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
despedida,3
